keys	en	ru
The striped reds and greens turn into just reds and greens. Figures with crossed out stripes turn into triangles with simple stripes.	The striped reds and greens turn into just reds and greens. Figures with crossed out stripes turn into triangles with simple stripes.	Полосатые красные и зелёные превращаются в просто красные и зелёные. Фигуры с перечёркнутыми полосками превращаются в фигуры с просто полосками.
A red triangle with a spot turns into a green triangle with a spot and vice versa.	A red triangle with a spot turns into a green triangle with a spot and vice versa.	Красный треугольник с пятном превращается в зелёный треугольник с пятном и наоборот.
Finally, blue figures with a red corners rotate clockwise, and those with green ones rotate counterclockwise.	Finally, blue figures with a red corners rotate clockwise, and those with green ones rotate counterclockwise.	Наконец, синие фигуры с красным углом поворачиваются по часовой стрелке, а с зелёным — против часовой.
It seems like a lot, but in reality there are only two shapes: triangles and flags; there are only three colors: blue, red and green. Everything else was added later, just because it can. Try to build a path for the ball through many obstacles. Try to launch several balls instead of one and see what happen. Try to build a counting mechanism. Try drawing a picture. Try different.	It seems like a lot, but in reality there are only two shapes: triangles and flags; there are only three colors: blue, red and green. Everything else was added later, just because it can. Try to build a path for the ball through many obstacles. Try to launch several balls instead of one and see what happen. Try to build a counting mechanism. Try drawing a picture. Try different.	Кажется сложно, но на самом деле есть всего две формы: треугольники и флаги; только три цвета: синие, красные и зелёные. Всё остальное было добавлено позже, просто потому что можно. Попробуйте выстроить путь для шарика через множество препятствий. Попробуйте запустить несколько шариков вместо одного и посмотреть, что получится. Попробуйте построить счётную машину. Попробуйте нарисовать рисунок. Попробуйте разное.
GAME CONTROLS	GAME CONTROLS	УПРАВЛЕНИЕ
Image	Image	Изображение
Hotkey	Hotkey	Клавиша
Meaning	Meaning	Значение
Tool for drawing figures.	Tool for drawing figures.	Инструмент рисования фигур
Tool for drawing ball launchers.  The more red launcher is, the faster ball will be launched. Ctrl+scroll on the launcher to change its color.	Tool for drawing ball launchers.  The more red launcher is, the faster ball will be launched. Ctrl+scroll on the launcher to change its color.	Инструмент рисования запускателей шаров. Чем запускатель краснее, тем быстрее будут запускаемые им шарики. Ctrl+прокрутка по запускателю изменяет его цвет.
Rotate selected figure (or launcher) clockwise or counterclock-wise.	Rotate selected figure (or launcher) clockwise or counterclock-wise.	Вращать выбранную фигуру (или запускатель) по или против часовой стрелки.
Select previous/nest figure and make launcher less/more red.	Select previous/nest figure and make launcher less/more red.	Выбрать предыдущую/следующую фигуру или сделать запускатель менее/более красным.
Tool for drawing ball eaters.	Tool for drawing ball eaters.	Инструмент рисования пожирателей шаров.
Eraser tool.	Eraser tool.	Стёрка.
Launch balls from all available launchers.	Launch balls from all available launchers.	Запустить шары из всех доступных запускателей.
Destroy all existing balls.	Destroy all existing balls.	Уничтожить все существующие шары.
Clear all.	Clear all.	Очистить всё поле.
Load game field from file. Ctrl+L reloads opened file.	Load game field from file. Ctrl+L reloads opened file.	Загрузить игровое поле из файла. Ctrl+L перезагружает открытый файл.
Save game field to file. Balls won't be saved. Ctrl+S resaves opened file.	Save game field to file. Balls won't be saved. Ctrl+S resaves opened file.	Сохранить игровое поле в файл. Ctrl+S пересохраняет открытый файл.
Toggle pause game	Toggle pause game	Вкл/выкл паузу.
Toggle mute sound.	Toggle mute sound.	Вкл/выкл звук.
Toggle attach camera to last ball if available.	Toggle attach camera to last ball if available.	Прикрепить камеру к последнему доступному шарику. Или открепить.
Quit game. The first press of the Esc turns off the drawing mode, and then turns off the game.	Quit game. The first press of the Esc turns off the drawing mode, and then turns off the game.	Выйти из игры. Первое нажатие Esc выключает режим рисования, а следующее выключает игру.
Show help (this window).	Show help (this window).	Показать справку (это окно).
Move view.	Move view.	Переместить обзор.
Zoom view.	Zoom view.	Приблизить/отдалить.
